grad,datum,sat,knn_pm2_5,knn_aqi,lstm_pm2_5,lstm_aqi,xgb_pm2_5,xgb_aqi,lgbm_pm2_5,lgbm_aqi
Beograd,2026-06-06,00:00,12.55,Prihvatljiv,12.73,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,01:00,12.16,Prihvatljiv,12.13,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,02:00,12.0,Prihvatljiv,12.23,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,03:00,12.0,Prihvatljiv,12.25,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,04:00,11.78,Prihvatljiv,12.04,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,05:00,11.56,Prihvatljiv,11.48,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,06:00,11.18,Prihvatljiv,10.7,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,07:00,10.4,Prihvatljiv,9.77,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,08:00,10.13,Prihvatljiv,8.96,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,09:00,9.75,Prihvatljiv,8.42,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,10:00,9.71,Prihvatljiv,8.2,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,11:00,8.78,Prihvatljiv,8.17,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,12:00,8.05,Prihvatljiv,8.26,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,13:00,7.8,Prihvatljiv,8.42,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,14:00,7.74,Prihvatljiv,8.69,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,15:00,7.74,Prihvatljiv,9.15,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,16:00,7.81,Prihvatljiv,9.7,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,17:00,8.4,Prihvatljiv,10.44,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,18:00,9.12,Prihvatljiv,11.2,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,19:00,9.76,Prihvatljiv,12.03,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,20:00,10.75,Prihvatljiv,12.75,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,21:00,11.39,Prihvatljiv,13.1,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,22:00,11.24,Prihvatljiv,12.81,Prihvatljiv,,N/A,,N/A
Beograd,2026-06-06,23:00,11.19,Prihvatljiv,12.3,Prihvatljiv,,N/A,,N/A
