grad,datum,sat,knn_pm2_5,knn_aqi,lstm_pm2_5,lstm_aqi,xgb_pm2_5,xgb_aqi,lgbm_pm2_5,lgbm_aqi
Beograd,2026-06-06,00:00,12.55,Prihvatljiv,12.73,Prihvatljiv,11.15,Prihvatljiv,11.35,Prihvatljiv
Beograd,2026-06-06,01:00,12.16,Prihvatljiv,12.13,Prihvatljiv,10.44,Prihvatljiv,10.69,Prihvatljiv
Beograd,2026-06-06,02:00,12.0,Prihvatljiv,12.23,Prihvatljiv,10.25,Prihvatljiv,10.66,Prihvatljiv
Beograd,2026-06-06,03:00,12.0,Prihvatljiv,12.25,Prihvatljiv,10.23,Prihvatljiv,10.72,Prihvatljiv
Beograd,2026-06-06,04:00,11.78,Prihvatljiv,12.04,Prihvatljiv,10.79,Prihvatljiv,11.07,Prihvatljiv
Beograd,2026-06-06,05:00,11.56,Prihvatljiv,11.48,Prihvatljiv,10.25,Prihvatljiv,10.21,Prihvatljiv
Beograd,2026-06-06,06:00,11.18,Prihvatljiv,10.7,Prihvatljiv,9.76,Prihvatljiv,9.98,Prihvatljiv
Beograd,2026-06-06,07:00,10.4,Prihvatljiv,9.77,Prihvatljiv,9.6,Prihvatljiv,10.05,Prihvatljiv
Beograd,2026-06-06,08:00,10.13,Prihvatljiv,8.96,Prihvatljiv,9.52,Prihvatljiv,10.03,Prihvatljiv
Beograd,2026-06-06,09:00,9.75,Prihvatljiv,8.42,Prihvatljiv,9.11,Prihvatljiv,9.87,Prihvatljiv
Beograd,2026-06-06,10:00,9.71,Prihvatljiv,8.2,Prihvatljiv,8.86,Prihvatljiv,10.12,Prihvatljiv
Beograd,2026-06-06,11:00,8.78,Prihvatljiv,8.17,Prihvatljiv,8.71,Prihvatljiv,10.12,Prihvatljiv
Beograd,2026-06-06,12:00,8.05,Prihvatljiv,8.26,Prihvatljiv,8.0,Prihvatljiv,9.65,Prihvatljiv
Beograd,2026-06-06,13:00,7.8,Prihvatljiv,8.42,Prihvatljiv,8.09,Prihvatljiv,9.65,Prihvatljiv
Beograd,2026-06-06,14:00,7.74,Prihvatljiv,8.69,Prihvatljiv,8.09,Prihvatljiv,9.65,Prihvatljiv
Beograd,2026-06-06,15:00,7.74,Prihvatljiv,9.15,Prihvatljiv,7.97,Prihvatljiv,9.65,Prihvatljiv
Beograd,2026-06-06,16:00,7.81,Prihvatljiv,9.7,Prihvatljiv,8.54,Prihvatljiv,9.78,Prihvatljiv
Beograd,2026-06-06,17:00,8.4,Prihvatljiv,10.44,Prihvatljiv,9.27,Prihvatljiv,10.1,Prihvatljiv
Beograd,2026-06-06,18:00,9.12,Prihvatljiv,11.2,Prihvatljiv,8.91,Prihvatljiv,10.89,Prihvatljiv
Beograd,2026-06-06,19:00,9.76,Prihvatljiv,12.03,Prihvatljiv,10.28,Prihvatljiv,11.67,Prihvatljiv
Beograd,2026-06-06,20:00,10.75,Prihvatljiv,12.75,Prihvatljiv,10.75,Prihvatljiv,12.2,Prihvatljiv
Beograd,2026-06-06,21:00,11.39,Prihvatljiv,13.1,Prihvatljiv,11.01,Prihvatljiv,12.26,Prihvatljiv
Beograd,2026-06-06,22:00,11.24,Prihvatljiv,12.81,Prihvatljiv,10.85,Prihvatljiv,11.82,Prihvatljiv
Beograd,2026-06-06,23:00,11.19,Prihvatljiv,12.3,Prihvatljiv,11.63,Prihvatljiv,10.95,Prihvatljiv
