grad,datum,sat,knn_pm2_5,knn_aqi,lstm_pm2_5,lstm_aqi,xgb_pm2_5,xgb_aqi,lgbm_pm2_5,lgbm_aqi
Bor,2026-06-06,00:00,9.77,Prihvatljiv,7.98,Prihvatljiv,9.17,Prihvatljiv,8.5,Prihvatljiv
Bor,2026-06-06,01:00,9.65,Prihvatljiv,7.64,Prihvatljiv,8.59,Prihvatljiv,7.88,Prihvatljiv
Bor,2026-06-06,02:00,9.24,Prihvatljiv,7.58,Prihvatljiv,8.62,Prihvatljiv,8.09,Prihvatljiv
Bor,2026-06-06,03:00,9.12,Prihvatljiv,7.7,Prihvatljiv,8.76,Prihvatljiv,8.72,Prihvatljiv
Bor,2026-06-06,04:00,8.93,Prihvatljiv,7.9,Prihvatljiv,8.8,Prihvatljiv,8.82,Prihvatljiv
Bor,2026-06-06,05:00,8.46,Prihvatljiv,7.93,Prihvatljiv,8.87,Prihvatljiv,8.84,Prihvatljiv
Bor,2026-06-06,06:00,8.11,Prihvatljiv,7.64,Prihvatljiv,8.18,Prihvatljiv,8.22,Prihvatljiv
Bor,2026-06-06,07:00,8.08,Prihvatljiv,7.0,Prihvatljiv,7.15,Prihvatljiv,7.31,Prihvatljiv
Bor,2026-06-06,08:00,7.9,Prihvatljiv,6.53,Prihvatljiv,6.93,Prihvatljiv,7.03,Prihvatljiv
Bor,2026-06-06,09:00,7.45,Prihvatljiv,6.32,Prihvatljiv,6.71,Prihvatljiv,6.89,Prihvatljiv
Bor,2026-06-06,10:00,7.25,Prihvatljiv,6.24,Prihvatljiv,6.6,Prihvatljiv,6.76,Prihvatljiv
Bor,2026-06-06,11:00,7.22,Prihvatljiv,6.2,Prihvatljiv,6.52,Prihvatljiv,6.72,Prihvatljiv
Bor,2026-06-06,12:00,7.35,Prihvatljiv,6.17,Prihvatljiv,6.5,Prihvatljiv,6.72,Prihvatljiv
Bor,2026-06-06,13:00,7.44,Prihvatljiv,6.14,Prihvatljiv,6.5,Prihvatljiv,6.7,Prihvatljiv
Bor,2026-06-06,14:00,7.58,Prihvatljiv,6.12,Prihvatljiv,6.52,Prihvatljiv,6.76,Prihvatljiv
Bor,2026-06-06,15:00,7.56,Prihvatljiv,6.1,Prihvatljiv,6.52,Prihvatljiv,6.76,Prihvatljiv
Bor,2026-06-06,16:00,7.54,Prihvatljiv,6.12,Prihvatljiv,6.6,Prihvatljiv,6.9,Prihvatljiv
Bor,2026-06-06,17:00,7.68,Prihvatljiv,6.15,Prihvatljiv,6.67,Prihvatljiv,6.9,Prihvatljiv
Bor,2026-06-06,18:00,7.93,Prihvatljiv,6.19,Prihvatljiv,7.49,Prihvatljiv,7.16,Prihvatljiv
Bor,2026-06-06,19:00,8.06,Prihvatljiv,6.2,Prihvatljiv,7.63,Prihvatljiv,7.2,Prihvatljiv
Bor,2026-06-06,20:00,8.08,Prihvatljiv,6.15,Prihvatljiv,7.27,Prihvatljiv,7.09,Prihvatljiv
Bor,2026-06-06,21:00,8.15,Prihvatljiv,6.07,Prihvatljiv,7.27,Prihvatljiv,7.14,Prihvatljiv
Bor,2026-06-06,22:00,8.2,Prihvatljiv,5.97,Prihvatljiv,7.41,Prihvatljiv,7.14,Prihvatljiv
Bor,2026-06-06,23:00,8.27,Prihvatljiv,5.88,Prihvatljiv,7.78,Prihvatljiv,7.14,Prihvatljiv
