grad,datum,sat,knn_pm2_5,knn_aqi,lstm_pm2_5,lstm_aqi,xgb_pm2_5,xgb_aqi,lgbm_pm2_5,lgbm_aqi
Kopaonik,2026-06-06,00:00,7.45,Prihvatljiv,8.76,Prihvatljiv,10.3,Prihvatljiv,9.46,Prihvatljiv
Kopaonik,2026-06-06,01:00,7.53,Prihvatljiv,8.96,Prihvatljiv,10.39,Prihvatljiv,9.39,Prihvatljiv
Kopaonik,2026-06-06,02:00,7.39,Prihvatljiv,8.17,Prihvatljiv,8.84,Prihvatljiv,8.34,Prihvatljiv
Kopaonik,2026-06-06,03:00,7.45,Prihvatljiv,7.38,Prihvatljiv,8.15,Prihvatljiv,7.69,Prihvatljiv
Kopaonik,2026-06-06,04:00,7.14,Prihvatljiv,6.96,Prihvatljiv,7.65,Prihvatljiv,6.84,Prihvatljiv
Kopaonik,2026-06-06,05:00,6.77,Prihvatljiv,6.65,Prihvatljiv,6.86,Prihvatljiv,6.64,Prihvatljiv
Kopaonik,2026-06-06,06:00,6.67,Prihvatljiv,6.39,Prihvatljiv,6.85,Prihvatljiv,6.63,Prihvatljiv
Kopaonik,2026-06-06,07:00,6.51,Prihvatljiv,5.87,Prihvatljiv,5.68,Prihvatljiv,5.81,Prihvatljiv
Kopaonik,2026-06-06,08:00,6.57,Prihvatljiv,5.52,Prihvatljiv,5.64,Prihvatljiv,5.69,Prihvatljiv
Kopaonik,2026-06-06,09:00,6.31,Prihvatljiv,5.32,Prihvatljiv,5.48,Prihvatljiv,5.63,Prihvatljiv
Kopaonik,2026-06-06,10:00,6.16,Prihvatljiv,5.2,Prihvatljiv,5.46,Prihvatljiv,5.6,Prihvatljiv
Kopaonik,2026-06-06,11:00,6.15,Prihvatljiv,5.15,Prihvatljiv,5.4,Prihvatljiv,5.6,Prihvatljiv
Kopaonik,2026-06-06,12:00,6.32,Prihvatljiv,5.15,Prihvatljiv,5.42,Prihvatljiv,5.6,Prihvatljiv
Kopaonik,2026-06-06,13:00,6.2,Prihvatljiv,5.18,Prihvatljiv,5.43,Prihvatljiv,5.58,Prihvatljiv
Kopaonik,2026-06-06,14:00,6.25,Prihvatljiv,5.26,Prihvatljiv,5.43,Prihvatljiv,5.58,Prihvatljiv
Kopaonik,2026-06-06,15:00,6.38,Prihvatljiv,5.58,Prihvatljiv,5.55,Prihvatljiv,5.64,Prihvatljiv
Kopaonik,2026-06-06,16:00,6.27,Prihvatljiv,5.72,Prihvatljiv,5.41,Prihvatljiv,5.65,Prihvatljiv
Kopaonik,2026-06-06,17:00,6.33,Prihvatljiv,5.95,Prihvatljiv,5.58,Prihvatljiv,5.84,Prihvatljiv
Kopaonik,2026-06-06,18:00,6.23,Prihvatljiv,6.19,Prihvatljiv,5.91,Prihvatljiv,5.96,Prihvatljiv
Kopaonik,2026-06-06,19:00,6.27,Prihvatljiv,6.49,Prihvatljiv,6.77,Prihvatljiv,6.55,Prihvatljiv
Kopaonik,2026-06-06,20:00,6.39,Prihvatljiv,6.96,Prihvatljiv,6.91,Prihvatljiv,6.83,Prihvatljiv
Kopaonik,2026-06-06,21:00,6.5,Prihvatljiv,7.55,Prihvatljiv,7.62,Prihvatljiv,7.49,Prihvatljiv
Kopaonik,2026-06-06,22:00,6.72,Prihvatljiv,8.12,Prihvatljiv,8.96,Prihvatljiv,9.0,Prihvatljiv
Kopaonik,2026-06-06,23:00,6.8,Prihvatljiv,8.49,Prihvatljiv,10.42,Prihvatljiv,9.32,Prihvatljiv
