grad,datum,sat,knn_pm2_5,knn_aqi,lstm_pm2_5,lstm_aqi,xgb_pm2_5,xgb_aqi,lgbm_pm2_5,lgbm_aqi
Kostolac,2026-06-06,00:00,13.55,Prihvatljiv,11.88,Prihvatljiv,12.29,Prihvatljiv,12.06,Prihvatljiv
Kostolac,2026-06-06,01:00,13.72,Prihvatljiv,11.33,Prihvatljiv,11.79,Prihvatljiv,11.62,Prihvatljiv
Kostolac,2026-06-06,02:00,13.98,Prihvatljiv,11.31,Prihvatljiv,12.31,Prihvatljiv,11.56,Prihvatljiv
Kostolac,2026-06-06,03:00,13.48,Prihvatljiv,11.55,Prihvatljiv,12.81,Prihvatljiv,12.44,Prihvatljiv
Kostolac,2026-06-06,04:00,12.69,Prihvatljiv,11.55,Prihvatljiv,12.52,Prihvatljiv,12.46,Prihvatljiv
Kostolac,2026-06-06,05:00,12.68,Prihvatljiv,11.09,Prihvatljiv,11.68,Prihvatljiv,10.9,Prihvatljiv
Kostolac,2026-06-06,06:00,12.3,Prihvatljiv,10.28,Prihvatljiv,10.41,Prihvatljiv,9.87,Prihvatljiv
Kostolac,2026-06-06,07:00,11.76,Prihvatljiv,9.62,Prihvatljiv,10.29,Prihvatljiv,9.82,Prihvatljiv
Kostolac,2026-06-06,08:00,10.97,Prihvatljiv,9.09,Prihvatljiv,10.16,Prihvatljiv,9.73,Prihvatljiv
Kostolac,2026-06-06,09:00,11.22,Prihvatljiv,8.62,Prihvatljiv,10.19,Prihvatljiv,9.75,Prihvatljiv
Kostolac,2026-06-06,10:00,11.16,Prihvatljiv,8.21,Prihvatljiv,10.23,Prihvatljiv,9.75,Prihvatljiv
Kostolac,2026-06-06,11:00,10.96,Prihvatljiv,7.92,Prihvatljiv,9.99,Prihvatljiv,9.6,Prihvatljiv
Kostolac,2026-06-06,12:00,10.65,Prihvatljiv,7.71,Prihvatljiv,9.85,Prihvatljiv,9.5,Prihvatljiv
Kostolac,2026-06-06,13:00,10.17,Prihvatljiv,7.51,Prihvatljiv,9.47,Prihvatljiv,9.37,Prihvatljiv
Kostolac,2026-06-06,14:00,9.83,Prihvatljiv,7.37,Prihvatljiv,9.21,Prihvatljiv,9.01,Prihvatljiv
Kostolac,2026-06-06,15:00,9.34,Prihvatljiv,7.31,Prihvatljiv,9.14,Prihvatljiv,9.13,Prihvatljiv
Kostolac,2026-06-06,16:00,8.47,Prihvatljiv,7.42,Prihvatljiv,9.18,Prihvatljiv,9.13,Prihvatljiv
Kostolac,2026-06-06,17:00,8.11,Prihvatljiv,7.66,Prihvatljiv,8.88,Prihvatljiv,9.13,Prihvatljiv
Kostolac,2026-06-06,18:00,8.09,Prihvatljiv,7.93,Prihvatljiv,8.97,Prihvatljiv,9.13,Prihvatljiv
Kostolac,2026-06-06,19:00,8.38,Prihvatljiv,8.25,Prihvatljiv,9.11,Prihvatljiv,9.13,Prihvatljiv
Kostolac,2026-06-06,20:00,8.86,Prihvatljiv,8.63,Prihvatljiv,9.48,Prihvatljiv,9.36,Prihvatljiv
Kostolac,2026-06-06,21:00,9.8,Prihvatljiv,8.98,Prihvatljiv,9.59,Prihvatljiv,9.5,Prihvatljiv
Kostolac,2026-06-06,22:00,10.35,Prihvatljiv,9.25,Prihvatljiv,9.68,Prihvatljiv,9.59,Prihvatljiv
Kostolac,2026-06-06,23:00,10.18,Prihvatljiv,9.46,Prihvatljiv,9.84,Prihvatljiv,9.67,Prihvatljiv
