grad,datum,sat,knn_pm2_5,knn_aqi,lstm_pm2_5,lstm_aqi,xgb_pm2_5,xgb_aqi,lgbm_pm2_5,lgbm_aqi
Nis,2026-06-06,00:00,11.79,Prihvatljiv,12.6,Prihvatljiv,12.1,Prihvatljiv,11.89,Prihvatljiv
Nis,2026-06-06,01:00,11.26,Prihvatljiv,12.19,Prihvatljiv,11.94,Prihvatljiv,11.67,Prihvatljiv
Nis,2026-06-06,02:00,10.81,Prihvatljiv,12.47,Prihvatljiv,11.96,Prihvatljiv,12.04,Prihvatljiv
Nis,2026-06-06,03:00,10.54,Prihvatljiv,12.52,Prihvatljiv,11.95,Prihvatljiv,11.98,Prihvatljiv
Nis,2026-06-06,04:00,9.76,Prihvatljiv,12.0,Prihvatljiv,11.92,Prihvatljiv,11.38,Prihvatljiv
Nis,2026-06-06,05:00,9.35,Prihvatljiv,11.09,Prihvatljiv,10.62,Prihvatljiv,10.08,Prihvatljiv
Nis,2026-06-06,06:00,9.43,Prihvatljiv,10.05,Prihvatljiv,9.41,Prihvatljiv,9.11,Prihvatljiv
Nis,2026-06-06,07:00,9.11,Prihvatljiv,9.2,Prihvatljiv,9.35,Prihvatljiv,9.11,Prihvatljiv
Nis,2026-06-06,08:00,8.74,Prihvatljiv,8.67,Prihvatljiv,8.89,Prihvatljiv,9.11,Prihvatljiv
Nis,2026-06-06,09:00,8.51,Prihvatljiv,8.38,Prihvatljiv,8.3,Prihvatljiv,8.9,Prihvatljiv
Nis,2026-06-06,10:00,8.38,Prihvatljiv,8.25,Prihvatljiv,8.18,Prihvatljiv,8.52,Prihvatljiv
Nis,2026-06-06,11:00,8.36,Prihvatljiv,8.23,Prihvatljiv,7.96,Prihvatljiv,8.27,Prihvatljiv
Nis,2026-06-06,12:00,8.24,Prihvatljiv,8.27,Prihvatljiv,8.06,Prihvatljiv,8.27,Prihvatljiv
Nis,2026-06-06,13:00,8.32,Prihvatljiv,8.33,Prihvatljiv,8.06,Prihvatljiv,8.27,Prihvatljiv
Nis,2026-06-06,14:00,8.4,Prihvatljiv,8.4,Prihvatljiv,8.01,Prihvatljiv,8.21,Prihvatljiv
Nis,2026-06-06,15:00,8.44,Prihvatljiv,8.58,Prihvatljiv,8.05,Prihvatljiv,8.21,Prihvatljiv
Nis,2026-06-06,16:00,8.48,Prihvatljiv,8.96,Prihvatljiv,8.22,Prihvatljiv,8.23,Prihvatljiv
Nis,2026-06-06,17:00,8.61,Prihvatljiv,9.55,Prihvatljiv,8.54,Prihvatljiv,8.52,Prihvatljiv
Nis,2026-06-06,18:00,9.01,Prihvatljiv,10.26,Prihvatljiv,9.07,Prihvatljiv,9.3,Prihvatljiv
Nis,2026-06-06,19:00,9.46,Prihvatljiv,10.68,Prihvatljiv,10.37,Prihvatljiv,9.84,Prihvatljiv
Nis,2026-06-06,20:00,9.65,Prihvatljiv,10.81,Prihvatljiv,10.4,Prihvatljiv,9.96,Prihvatljiv
Nis,2026-06-06,21:00,9.9,Prihvatljiv,10.71,Prihvatljiv,10.4,Prihvatljiv,9.98,Prihvatljiv
Nis,2026-06-06,22:00,9.83,Prihvatljiv,10.68,Prihvatljiv,10.42,Prihvatljiv,10.17,Prihvatljiv
Nis,2026-06-06,23:00,9.71,Prihvatljiv,10.66,Prihvatljiv,10.74,Prihvatljiv,10.45,Prihvatljiv
