grad,datum,sat,knn_pm2_5,knn_aqi,lstm_pm2_5,lstm_aqi,xgb_pm2_5,xgb_aqi,lgbm_pm2_5,lgbm_aqi
Smederevo,2026-06-06,00:00,13.02,Prihvatljiv,12.08,Prihvatljiv,11.51,Prihvatljiv,11.13,Prihvatljiv
Smederevo,2026-06-06,01:00,12.87,Prihvatljiv,11.5,Prihvatljiv,10.43,Prihvatljiv,10.3,Prihvatljiv
Smederevo,2026-06-06,02:00,12.33,Prihvatljiv,11.42,Prihvatljiv,10.88,Prihvatljiv,10.36,Prihvatljiv
Smederevo,2026-06-06,03:00,11.84,Prihvatljiv,11.59,Prihvatljiv,11.19,Prihvatljiv,10.52,Prihvatljiv
Smederevo,2026-06-06,04:00,11.53,Prihvatljiv,11.62,Prihvatljiv,11.04,Prihvatljiv,10.89,Prihvatljiv
Smederevo,2026-06-06,05:00,10.81,Prihvatljiv,11.2,Prihvatljiv,10.86,Prihvatljiv,10.52,Prihvatljiv
Smederevo,2026-06-06,06:00,10.62,Prihvatljiv,10.39,Prihvatljiv,9.75,Prihvatljiv,10.07,Prihvatljiv
Smederevo,2026-06-06,07:00,10.09,Prihvatljiv,9.46,Prihvatljiv,8.87,Prihvatljiv,9.88,Prihvatljiv
Smederevo,2026-06-06,08:00,9.21,Prihvatljiv,8.64,Prihvatljiv,8.66,Prihvatljiv,9.71,Prihvatljiv
Smederevo,2026-06-06,09:00,8.86,Prihvatljiv,8.0,Prihvatljiv,8.41,Prihvatljiv,9.69,Prihvatljiv
Smederevo,2026-06-06,10:00,8.72,Prihvatljiv,7.63,Prihvatljiv,8.37,Prihvatljiv,9.42,Prihvatljiv
Smederevo,2026-06-06,11:00,8.56,Prihvatljiv,7.46,Prihvatljiv,8.25,Prihvatljiv,9.42,Prihvatljiv
Smederevo,2026-06-06,12:00,8.56,Prihvatljiv,7.46,Prihvatljiv,8.27,Prihvatljiv,9.42,Prihvatljiv
Smederevo,2026-06-06,13:00,8.42,Prihvatljiv,7.54,Prihvatljiv,8.24,Prihvatljiv,9.53,Prihvatljiv
Smederevo,2026-06-06,14:00,8.0,Prihvatljiv,7.71,Prihvatljiv,8.34,Prihvatljiv,9.54,Prihvatljiv
Smederevo,2026-06-06,15:00,7.69,Prihvatljiv,8.06,Prihvatljiv,7.86,Prihvatljiv,9.48,Prihvatljiv
Smederevo,2026-06-06,16:00,7.73,Prihvatljiv,8.52,Prihvatljiv,8.11,Prihvatljiv,9.52,Prihvatljiv
Smederevo,2026-06-06,17:00,7.9,Prihvatljiv,9.11,Prihvatljiv,8.33,Prihvatljiv,9.56,Prihvatljiv
Smederevo,2026-06-06,18:00,8.44,Prihvatljiv,9.75,Prihvatljiv,8.68,Prihvatljiv,9.59,Prihvatljiv
Smederevo,2026-06-06,19:00,9.42,Prihvatljiv,10.51,Prihvatljiv,9.3,Prihvatljiv,10.25,Prihvatljiv
Smederevo,2026-06-06,20:00,10.21,Prihvatljiv,11.29,Prihvatljiv,11.29,Prihvatljiv,11.84,Prihvatljiv
Smederevo,2026-06-06,21:00,10.73,Prihvatljiv,11.75,Prihvatljiv,11.55,Prihvatljiv,12.13,Prihvatljiv
Smederevo,2026-06-06,22:00,10.66,Prihvatljiv,11.75,Prihvatljiv,11.2,Prihvatljiv,11.66,Prihvatljiv
Smederevo,2026-06-06,23:00,10.42,Prihvatljiv,11.44,Prihvatljiv,9.78,Prihvatljiv,10.23,Prihvatljiv
